iter	Logloss
0	0.6589485535
1	0.6302619178
2	0.6089645769
3	0.5886574061
4	0.5707136614
5	0.555123636
6	0.5414683341
7	0.5301514842
8	0.5205534789
9	0.5116462376
10	0.5035449171
11	0.4968646231
12	0.4907456789
13	0.4856670071
14	0.48080003
15	0.4760975574
16	0.4720499156
17	0.4684480301
18	0.4650046217
19	0.4618635644
20	0.4591062977
21	0.4565916637
22	0.4545932351
23	0.4528118667
24	0.450808173
25	0.4490910837
26	0.4471409522
27	0.4455539278
28	0.4439812411
29	0.4428736421
30	0.4415829447
31	0.4403559173
32	0.4392702163
33	0.4380960977
34	0.4375765586
35	0.4370712772
36	0.435896239
37	0.4349573455
38	0.4341288561
39	0.4333615385
40	0.4326335314
41	0.4318347911
42	0.4310418912
43	0.4302273392
44	0.4294635848
45	0.4288048114
46	0.4278268516
47	0.4272295334
48	0.4265718532
49	0.4258827003
50	0.4252652465
51	0.4245770452
52	0.4240050888
53	0.4234017273
54	0.4230587339
55	0.4227184935
56	0.4223702845
57	0.4218697692
58	0.4215684367
59	0.4210757254
60	0.4206123798
61	0.4199896502
62	0.419333387
63	0.4180506588
64	0.4173089113
65	0.4165818411
66	0.4160191364
67	0.4158234267
68	0.4153841234
69	0.4149358799
70	0.4145246369
71	0.4140508431
72	0.4138139073
73	0.4133774601
74	0.4131324528
75	0.4129816112
76	0.4121088908
77	0.4116421523
78	0.4111677863
79	0.4102247285
80	0.4098751992
81	0.4094242364
82	0.4088092461
83	0.4084092227
84	0.4078810839
85	0.4073737028
86	0.4070667772
87	0.4066272721
88	0.4063006109
89	0.4057953365
90	0.4055632046
91	0.4049592124
92	0.404615345
93	0.4042663078
94	0.4039652041
95	0.4034419439
96	0.4031894378
97	0.402361869
98	0.4021250454
99	0.4018906059
