iter	Passed	Remaining
0	2	246
1	5	260
2	7	242
3	9	236
4	12	230
5	14	234
6	17	232
7	20	233
8	23	240
9	26	236
10	28	233
11	31	228
12	33	223
13	35	218
14	38	220
15	40	214
16	43	210
17	45	206
18	47	201
19	49	197
20	51	193
21	54	193
22	56	189
23	58	186
24	60	181
25	62	178
26	64	175
27	67	172
28	69	170
29	71	166
30	73	163
31	75	160
32	77	157
33	79	154
34	81	151
35	83	148
36	85	146
37	87	143
38	90	141
39	92	138
40	94	135
41	96	133
42	98	130
43	101	128
44	103	126
45	105	123
46	107	121
47	109	118
48	111	116
49	113	113
50	116	111
51	118	109
52	120	107
53	122	104
54	125	102
55	127	100
56	129	97
57	131	95
58	134	93
59	136	91
60	138	88
61	141	86
62	143	84
63	145	81
64	147	79
65	149	77
66	151	74
67	153	72
68	155	69
69	157	67
70	160	65
71	162	63
72	164	60
73	166	58
74	169	56
75	171	54
76	173	51
77	175	49
78	177	47
79	179	44
80	182	42
81	184	40
82	186	38
83	188	35
84	190	33
85	192	31
86	195	29
87	197	26
88	199	24
89	202	22
90	204	20
91	206	17
92	208	15
93	210	13
94	213	11
95	215	8
96	217	6
97	220	4
98	222	2
99	224	0
